Top pages,Clicks,Impressions,CTR,Position
https://stupski.org/,595,2707,21.98%,3.05
https://stupski.org/control/,272,1707,15.93%,3.24
https://stupski.org/people/glen-galaich-ph-d/,232,1568,14.8%,3.69
https://stupski.org/break-fake-rules/,201,493174,0.04%,7.55
https://stupski.org/intern-with-stupski/,96,1985,4.84%,9.13
https://stupski.org/about/our-team/,92,1614,5.7%,2.92
https://stupski.org/our-programs/for-grant-seekers/,45,1179,3.82%,1.82
https://stupski.org/about/about-the-stupskis/,41,2771,1.48%,4.1
https://stupski.org/join-our-team/,41,884,4.64%,2.45
https://stupski.org/people/maida-lynn/,35,328,10.67%,4.37
https://stupski.org/our-programs/,29,1300,2.23%,1.63
https://stupski.org/about/,25,1542,1.62%,2.73
https://stupski.org/changecantwaitblog/control-why-big-giving-falls-short/,22,778,2.83%,5.51
https://stupski.org/people/sulma-gandhi-drba-msc/,20,257,7.78%,5.81
https://stupski.org/our-programs/food-justice/,18,1070,1.68%,8.55
https://stupski.org/people/aileen-suzara/,18,121,14.88%,4.04
https://stupski.org/people/dan-tuttle/,17,269,6.32%,5.23
https://stupski.org/people/malila-becton-consuegra/,16,89,17.98%,6.81
https://stupski.org/about/why-spend-down/,15,1662,0.9%,4.02
https://stupski.org/people/keoni-lee/,15,346,4.34%,5.18
https://stupski.org/people/cheri-souza/,15,180,8.33%,4.78
https://stupski.org/people/jennifer-nguyen/,13,730,1.78%,7.54
https://stupski.org/people/claire-callahan/,10,446,2.24%,4.49
https://stupski.org/about/financials/,10,286,3.5%,4.97
https://stupski.org/about/our-board/,8,235,3.4%,6.09
https://stupski.org/people/ari-datta/,8,166,4.82%,6.87
https://stupski.org/fighting-for-food-justice/,7,207,3.38%,6.88
https://stupski.org/people/la-roux-pendleton/,7,81,8.64%,9.67
https://stupski.org/philanthropy-confidential/,7,64,10.94%,9.56
https://stupski.org/control/book-tour-events/,7,59,11.86%,6.44
https://stupski.org/changecantwaitblog/stupski-foundation-accelerates-grantmaking-in-response-to-threats-to-our-communities-and-democracy/,6,825,0.73%,5.2
https://stupski.org/people/deborah-alvarez-rodriguez/,6,404,1.49%,6.73
https://stupski.org/changecantwaitblog/remembering-joyce-stupski/,6,373,1.61%,5.55
https://stupski.org/people/devona-williams/,6,108,5.56%,6.08
https://stupski.org/people/maile-boggeln/,6,99,6.06%,7.75
https://stupski.org/people/marisa-castuera-hayase/,6,85,7.06%,4.2
https://stupski.org/changecantwaitblog/wahi-kupuna-stewardship/,5,312,1.6%,6.9
https://stupski.org/changecantwaitblog/food-justice-grantmaking-2025-year-in-review/,4,445,0.9%,5.27
https://stupski.org/people/sam-cobbs/,4,206,1.94%,5.71
https://stupski.org/changecantwaitblog/maida-lynn-joins-the-stupski-foundation-board/,4,164,2.44%,4.12
https://stupski.org/changecantwaitblog/from-power-building-to-power-wielding-with-ludovic-blain/,4,144,2.78%,5.06
https://stupski.org/changecantwaitblog/our-hawaii/,4,79,5.06%,7.13
https://stupski.org/how-we-do-it/,3,1074,0.28%,4.51
https://stupski.org/changecantwaitblog/bridging-the-divide-with-sarah-longwell/,3,993,0.3%,4.03
https://stupski.org/people/richard-tate/,3,693,0.43%,5.24
https://stupski.org/historical-grants/,3,466,0.64%,6.94
https://stupski.org/our-programs/health/,3,459,0.65%,4.61
https://stupski.org/people/stacy-lopez/,3,341,0.88%,5.38
https://stupski.org/changecantwaitblog/its-time-to-break-fake-rules/,3,291,1.03%,5.67
https://stupski.org/about/where-we-work/,3,280,1.07%,3.86
https://stupski.org/changecantwaitblog/philanthropy-confidential-4-on-philanthropic-infrastructure/,3,270,1.11%,6.9
https://stupski.org/grant-directory/,3,224,1.34%,5.25
https://stupski.org/people/matthew-nagato/,3,66,4.55%,5.39
https://stupski.org/people/jas-victoria-murray/,3,58,5.17%,10.34
https://stupski.org/changecantwaitblog/dont-wait-your-turn-to-lead-with-julian-castro/,2,444,0.45%,9.61
https://stupski.org/our-programs/postsecondary-success/,2,310,0.65%,16.31
https://stupski.org/changecantwaitblog/3-lessons-learned-from-spending-down/,2,160,1.25%,10.12
https://stupski.org/changecantwaitblog/1-5-million-supporting-immigrant-communities/,2,143,1.4%,5.69
https://stupski.org/changecantwaitblog/beyond-sustenance/,2,132,1.52%,8.02
https://stupski.org/changecantwaitblog/the-peoples-money-with-dr-carmen-rojas/,2,90,2.22%,10.06
https://stupski.org/changecantwaitblog/stupski-foundation-welcomes-six-board-members/,2,80,2.5%,5.4
https://stupski.org/changecantwaitblog/trust-at-the-center/,2,52,3.85%,6.21
https://stupski.org/changecantwaitblog/break-fake-rules-with-jennifer-nguyen/,2,45,4.44%,7.58
https://stupski.org/people/lorree-novotny/,2,39,5.13%,4.87
https://stupski.org/people/raymi-faria/,2,34,5.88%,7.94
https://stupski.org/about/faqs/,1,332,0.3%,5.73
https://stupski.org/changecantwaitblog/always-be-challenging-with-rachel-pritzker/,1,330,0.3%,6.8
https://stupski.org/changecantwaitblog/philanthropy-confidential-1-on-gatekeeping/,1,291,0.34%,6.94
https://stupski.org/author/glen/,1,256,0.39%,7.76
https://stupski.org/changecantwaitblog/we-need-to-talk-about-money-with-jennifer-risher/,1,189,0.53%,7.32
https://stupski.org/author/stupski-foundation/,1,169,0.59%,7.36
https://stupski.org/changecantwaitblog/love-of-humanity/,1,166,0.6%,7.95
https://stupski.org/changecantwaitblog/food-justice-grantmaking-2024-year-in-review/,1,163,0.61%,5.82
https://stupski.org/people/jim-wiggett/,1,115,0.87%,7.37
https://stupski.org/changecantwaitblog/philanthropy-confidential-3-the-mailbag/,1,91,1.1%,8.69
https://stupski.org/bfr-events/,1,62,1.61%,6.68
https://stupski.org/author/claire/,1,32,3.12%,8.41
https://stupski.org/changecantwaitblog/back-in-the-test-kitchen/,1,30,3.33%,6.63
https://stupski.org/changecantwaitblog/on-a-mission/,1,29,3.45%,9.1
https://stupski.org/author/arianastupski-org/,1,28,3.57%,7.82
https://stupski.org/author/matthewstupski-org/,1,24,4.17%,10.42
https://stupski.org/author/elvin/,1,7,14.29%,6.71
https://stupski.org/changecantwaitblog/lessons-were-learning-from-our-partners-in-hawaiʻi/,1,5,20%,8.6
https://stupski.org/category/changecantwaitblog/page/2/,1,5,20%,20.8
https://stupski.org/tag/health/,1,3,33.33%,2
https://stupski.org/changecantwaitblog/lets-hear-it-a-proposition-for-measuring-philanthropys-success/,0,533,0%,8.45
https://stupski.org/wp-content/uploads/2022/03/2021StriveHI_StatewideSnapshot.pdf,0,232,0%,8.24
https://stupski.org/contact-us/,0,213,0%,5.66
https://stupski.org/changecantwaitblog/stupski-foundation-announces-spend-down-strategies/,0,213,0%,9.71
https://stupski.org/talk-story/hananiah/,0,205,0%,9.24
https://stupski.org/changecantwaitblog/philanthropy-confidential-2-on-funding-criteria/,0,182,0%,7.15
https://stupski.org/changecantwaitblog/how-to-become-an-antiracist-funder-with-dr-ibram-x-kendi-and-marcus-walton/,0,181,0%,9.93
https://stupski.org/talk-story/pumehana/,0,169,0%,8.46
https://stupski.org/changecantwaitblog/lasting-lessons/,0,144,0%,6.8
https://stupski.org/change-cant-wait-blog/,0,143,0%,7.77
https://stupski.org/talk-story/hannah/,0,134,0%,9.74
https://stupski.org/changecantwaitblog/6-4-million-for-family-organizations/,0,119,0%,6.36
https://stupski.org/changecantwaitblog/bay-area-nonprofits-receive-2-5-million-to-provide-young-students-of-color-with-paid-work-experience/,0,96,0%,7.85
https://stupski.org/changecantwaitblog/invitation-for-funding-to-support-student-and-community-wellness-initiatives/,0,93,0%,8.7
https://stupski.org/talk-story/tatum/,0,92,0%,10.16
https://stupski.org/changecantwaitblog/society-of-solidarity-a-new-vision-beyond-our-spend-down/,0,85,0%,7.33
https://stupski.org/people/constance-haddad/,0,83,0%,8.63
https://stupski.org/changecantwaitblog/invitation-for-funding-to-make-college-more-affordable-for-students-of-color/,0,69,0%,5.77
https://stupski.org/changecantwaitblog/ctl-thefuture/,0,67,0%,6.7
https://stupski.org/changecantwaitblog/invitation-for-funding-local-solutions-advancing-food-justice-health-and-community-resilience/,0,60,0%,5.9
https://stupski.org/changecantwaitblog/empower-hawaii-rural-youth/,0,57,0%,6.54
https://stupski.org/changecantwaitblog/fund-the-people-with-priscilla-enriquez/,0,55,0%,5.65
https://stupski.org/changecantwaitblog/take-bigger-swings/,0,55,0%,9.07
https://stupski.org/changecantwaitblog/bridging-the-distance/,0,54,0%,9.09
https://stupski.org/changecantwaitblog/roots-of-resilience/,0,53,0%,7.45
https://stupski.org/changecantwaitblog/invitation-for-funding-bay-area-student-power-building-initiatives/,0,53,0%,10.23
https://stupski.org/changecantwaitblog/stupski-foundation-announces-more-than-14-million-in-grants-to-seven-local-health-systems/,0,51,0%,9.55
https://stupski.org/changecantwaitblog/fund-the-ecosystem/,0,49,0%,11.12
https://stupski.org/changecantwaitblog/still-open-for-learning-two-csu-campuses-make-virtual-learning-accessible-for-students/,0,48,0%,11.96
https://stupski.org/changecantwaitblog/student-and-community-wellness/,0,47,0%,5.87
https://stupski.org/changecantwaitblog/cbos-provide-serious-illness-care-where-it-is-needed-most/,0,47,0%,7.13
https://stupski.org/changecantwaitblog/amplifying-persistence-bringing-student-voices-into-philanthropy/,0,47,0%,7.94
https://stupski.org/changecantwaitblog/chc-partnership-for-equity/,0,47,0%,9.15
https://stupski.org/changecantwaitblog/philanthropy-must-show-support-for-the-supporters-we-all-depend-on/,0,45,0%,7.47
https://stupski.org/talk-story/sabrina/,0,43,0%,10.33
https://stupski.org/changecantwaitblog/bridging-perspectives-new-bay-area-interns-are-shaping-stupskis-future/,0,43,0%,12.28
https://stupski.org/talk-story/,0,40,0%,12.75
https://stupski.org/author/jen/,0,38,0%,6.76
https://stupski.org/changecantwaitblog/sfusd-college-ambassador-program-paves-students-path-to-college/,0,38,0%,8.5
https://stupski.org/category/changecantwaitblog/,0,38,0%,11.63
https://stupski.org/changecantwaitblog/power-shared-is-power-multiplied/,0,37,0%,6.54
https://stupski.org/changecantwaitblog/where-healing-begins/,0,36,0%,10.53
https://stupski.org/changecantwaitblog/supporting-our-communities/,0,35,0%,10.74
https://stupski.org/changecantwaitblog/stupski-foundation-invests-additional-6-million-in-covid-19-response-efforts/,0,34,0%,8.5
https://stupski.org/terms-of-service/,0,34,0%,8.85
https://stupski.org/tag/bay-area/,0,33,0%,12
https://stupski.org/changecantwaitblog/following-their-lead-bay-area-students-inform-1-5m-investment-in-youth-power-building/,0,31,0%,7
https://stupski.org/tag/announcement/,0,31,0%,11.52
https://stupski.org/changecantwaitblog/stupski-foundation-board-elects-jim-wiggett-as-board-chair/,0,27,0%,6.26
https://stupski.org/changecantwaitblog/now-is-the-time-to-make-california-public-schools-a-priority/,0,25,0%,8.12
https://stupski.org/changecantwaitblog/in-the-test-kitchen-grantmaking-insights-to-chew-on/,0,24,0%,7.33
https://stupski.org/sign-up-for-newsletter/,0,23,0%,18.91
https://stupski.org/changecantwaitblog/ambassadors-of-aloha/,0,22,0%,10.82
https://stupski.org/event-series/control-tour/,0,21,0%,7
https://stupski.org/changecantwaitblog/four-changes-our-communities-want-to-see-from-the-biden-administration/,0,21,0%,8.86
https://stupski.org/tag/hawaii/,0,20,0%,6.4
https://stupski.org/wp-content/uploads/2022/07/Position-Announcement-Stupski-Foundation-Internship-2022-2023.pdf,0,19,0%,3.89
https://stupski.org/changecantwaitblog/together-we-will-do-more-for-people-living-with-serious-illnesses-in-the-bay-area/,0,19,0%,6.42
https://stupski.org/changecantwaitblog/invitation-for-funding-work-based-learning-programs/,0,19,0%,7.79
https://stupski.org/changecantwaitblog/what-comes-next/,0,19,0%,22.74
https://stupski.org/author/dan/,0,18,0%,9.56
https://stupski.org/changecantwaitblog/key-food-policy-changes-to-track-during-covid-19/,0,17,0%,7
https://stupski.org/changecantwaitblog/meet-our-grantee-partners/,0,17,0%,13
https://stupski.org/changecantwaitblog/cbos-lead-the-way-to-promote-food-security-during-covid-19/,0,16,0%,6.94
https://stupski.org/changecantwaitblog/keep-the-bay-safe-from-federal-force/,0,16,0%,34.25
https://stupski.org/changecantwaitblog/there-is-no-better-time-than-now-for-philanthropy-to-spend-itself-out-of-existence/,0,14,0%,10.57
https://stupski.org/changecantwaitblog/we-must-address-rising-hate-crimes-against-asian-americans/,0,14,0%,12.79
https://stupski.org/changecantwaitblog/covid-19-local-resource-list-for-our-communities/,0,13,0%,11.15
https://stupski.org/changecantwaitblog/invitation-for-funding-community-based-serious-illness-care-programs/,0,12,0%,5.58
https://stupski.org/event-series/break-fake-rules-tour/,0,11,0%,4.91
https://stupski.org/changecantwaitblog/sfs-most-popular-farmers-market-nearly-triples-calfresh-enrollment/,0,11,0%,6.36
https://stupski.org/changecantwaitblog/oakland-and-san-francisco-unified-school-districts-bolster-academic-and-financial-aid-advising-at-a-critical-time-for-high-school-seniors/,0,11,0%,6.91
https://stupski.org/author/evolve/,0,11,0%,10.27
https://stupski.org/homepage-joyce/,0,11,0%,11.45
https://stupski.org/homepage-2/,0,11,0%,16.55
https://stupski.org/tag/postsecondary-success/,0,10,0%,16.1
https://stupski.org/privacy-policy/,0,9,0%,4.89
https://stupski.org/changecantwaitblog/bay-area-universities-to-use-innovative-technology-to-provide-just-in-time-guidance-to-students/,0,9,0%,11.22
https://stupski.org/changecantwaitblog/community-solutions-to-meet-community-needs/,0,8,0%,10.5
https://stupski.org/changecantwaitblog/working-with-our-communities-to-address-covid-19/,0,8,0%,14.12
https://stupski.org/comingsoon/,0,7,0%,4.71
https://stupski.org/changecantwaitblog/now-is-the-time-for-philanthropy-to-invest-in-promoting-college-success/,0,7,0%,8.57
https://stupski.org/tag/perspectives/page/2/,0,7,0%,15.29
https://stupski.org/author/gwyneth/,0,6,0%,8.17
https://stupski.org/author/sulmastupski-org/,0,6,0%,8.5
https://stupski.org/author/jolanderstupski-org/,0,6,0%,16.17
https://stupski.org/changecantwaitblog/philanthropy-must-do-its-part-in-disrupting-racism/,0,5,0%,6.4
https://stupski.org/locations/whistler-bc/,0,5,0%,8.2
https://stupski.org/tag/serious-illness-care/,0,5,0%,19.2
https://stupski.org/tag/perspectives/,0,4,0%,4.25
https://stupski.org/changecantwaitblog/philanthropy-must-give-big-because-change-cant-wait/,0,4,0%,5.75
https://stupski.org/changecantwaitblog/funders-are-taking-urgent-action-to-deploy-resources-in-hawaii/,0,4,0%,16.75
https://stupski.org/author/cheristupski-org/,0,4,0%,22.5
https://stupski.org/author/claire/page/3/,0,3,0%,6.33
https://stupski.org/changecantwaitblog/a-students-call-to-education-grant-makers-listen-to-us/,0,3,0%,7
https://stupski.org/events/california-launch-party/,0,2,0%,4.5
https://stupski.org/tag/postsecondary-success/page/2/,0,2,0%,5
https://stupski.org/changecantwaitblog/lessons-on-grantmaking-during-a-pandemic/,0,2,0%,7.5
https://stupski.org/events/accusantium-fuga-veritatis-quos-qui-sunt/,0,2,0%,8
https://stupski.org/locations/virtual/,0,2,0%,10
https://stupski.org/changecantwaitblog/the-sum-of-light/,0,1,0%,2
https://stupski.org/wp-content/uploads/2022/03/Addressing_the_Adolescent_Mental_Health_Emergency_Full_Report.pdf,0,1,0%,2
https://stupski.org/events/grantmakers-for-effective-organizations/,0,1,0%,8
https://stupski.org/author/diegostupski-org/,0,1,0%,9
https://stupski.org/tag/postsecondary-success/page/3/,0,1,0%,9
https://stupski.org/events/california-donor-table/,0,1,0%,10
https://stupski.org/tag/bay-area/page/2/,0,1,0%,11
https://stupski.org/author/foursiteadmin/,0,1,0%,18
https://stupski.org/wp-content/uploads/2021/08/AdobeStock_187964869-1.png,0,1,0%,25
https://stupski.org/author/jodistupski-org/,0,1,0%,62
https://stupski.org/advisor-wellness-funding-invitation/,0,1,0%,98
