Top queries,Clicks,Impressions,CTR,Position
stupski foundation,627,974,64.37%,1.27
glen galaich,139,454,30.62%,1.16
break fake rules,42,73,57.53%,1.1
stupski,28,61,45.9%,1
control why big giving falls short,24,130,18.46%,1.9
maida lynn,24,84,28.57%,1.14
break fake rules podcast,22,48,45.83%,1.17
glen galaich stupski,20,45,44.44%,1.02
control glen galaich,16,49,32.65%,1.04
control: why big giving falls short,12,48,25%,1.92
glen galaich book,11,47,23.4%,2.57
dan tuttle,10,59,16.95%,1.53
aileen suzara,9,27,33.33%,1.04
stupski foundation 990,8,26,30.77%,1.54
larry stupski,7,28,25%,1
glen galaich control,7,16,43.75%,1.06
claire callahan,5,132,3.79%,3.46
keoni lee,5,34,14.71%,1.59
foundation jobs bay area,2,35,5.71%,7.63
food justice organizations,2,28,7.14%,5.57
marisa castuera hayase,2,11,18.18%,2.18
stupski.org,2,9,22.22%,1
marisa hayase,2,9,22.22%,3.89
bay area foundations,2,2,100%,13.5
jennifer nguyen,1,225,0.44%,7.98
food justice,1,182,0.55%,7.45
stacy lopez,1,105,0.95%,1.55
what is julián castro doing now,1,75,1.33%,3.6
philanthropy internships,1,58,1.72%,16.02
ludovic blain,1,48,2.08%,3.75
sapski foundation,1,12,8.33%,7.58
patriots and pragmatists,1,7,14.29%,13.14
philanthropy san francisco,1,4,25%,7.5
bulwark youtube,1,2,50%,9
sf foundation jobs,1,1,100%,17
the energy non crisis lindsey williams,1,1,100%,21
paid nonprofit internships,1,1,100%,31
"what's a false statement about online time? a. blue light from devices can 
make it hard to sleep b. it's a good way to connect with friends who are 
far away c. checking social media a lot is connected to more happiness d. 
you can find digital resources that you don't have locally",0,1236,0%,10.97
grace gee founded startup since 2025-08-27,0,1228,0%,6.45
william c. tate east point fire linkedin ga,0,989,0%,6.39
sarah longwell,0,582,0%,2.21
does iteric.in have a blog,0,505,0%,8.48
longwell green community centre hotel chain affiliation,0,463,0%,8.13
mother jones philanthropy restructured mission ceased operations,0,421,0%,9.9
fox plumbing & heating honolulu reviews,0,402,0%,7.57
"what was the main reason californians decided to draft a state constitution 
and ask to be admitted to the union? a. an increase in crime b. conflicts 
over water c. economic uncertainty d. the war with mexico",0,399,0%,11.54
"spanish creator 600 students variations anonymous sculpture rebellion 
social media awards europe america",0,398,0%,7.98
"""julian castro"" comedian award police society",0,344,0%,5.98
"don’t be misled by the fact that men want it quick and they are accustomed 
to having it be easy. if given the option, most men would love to know how 
much it would take—the bottom-line dollar figure—to get a woman into bed.",0,278,0%,10.05
richard tate,0,274,0%,3.57
"which statement best describes andrew jackson's presidency? choose one 
option a he attempted to exclude the voice of lower- and middle-class 
americans. b he attempted to bring the voice of ordinary americans to the 
white house. c he succeeded in uniting the goals of native americans and 
white americans. d he succeeded in creating strict voting requirements for 
the average american.",0,271,0%,8.68
"magazine founder scholarly publishing company academic publisher ceased 
operations philanthropy restructured mission",0,259,0%,7.17
internship eat learn play jobs,0,247,0%,9.19
"don t be misled by the fact that men want it quick and they are accustomed 
to having it be easy if given the option most men would love to know how 
much it would take the bottom line dollar figure to get a woman into bed",0,242,0%,17.9
fulton county kentucky board meeting transcripts software praise,0,240,0%,8.78
who is the ceo of iteric.in,0,237,0%,7.69
linkedin.com/in william tate east point fire department ga,0,227,0%,7.34
"""to be honest what is rule? if being frank, purely as a human, it's a 
colossal opportunity to do something not just for your own people, but for 
others too""",0,215,0%,6.57
cpak.org jan goldman cpak board,0,212,0%,7.36
"adjust your motive, budget, lifestyle, and adjust your motive, budget, 
lifestyle, and blank until you can say yes to all five smart questions. 
until you can say yes to all five smart questions.",0,209,0%,9.95
"why do grocery store sales cycles matter? select the best answer. a they 
help consumers know the best time of year to stock up on particular 
products. b they help employees know when to put items on sale. c they 
don’t matter if you choose grocery pick-up or delivery. d they don’t matter 
if you’re meal planning to save money.",0,207,0%,10.7
spuski,0,199,0%,7.52
"question 2 of 5 what's a false statement about online time? a. blue light 
from devices can make it hard to sleep b. it's a good way to connect with 
friends who are far away c. checking social media a lot is connected to 
more happiness d. you can find digital resources that you don't have locally",0,198,0%,10.63
glen investwick,0,174,0%,12.65
"why do grocery store sales cycles matter? a they help consumers know the 
best time of year to stock up on particular products. b they help employees 
know when to put items on sale. c they don’t matter if you choose grocery 
pick-up or delivery. d they don’t matter if you’re meal planning to save 
money.",0,168,0%,11.04
